ID,ABS(Line),Line,E(ML),V(ML),H(ML),D(VML),D(HML),Bet,Result,Outcome
7286,3.5,3.5,158.0,170,-200,12.0,-42.0,visitor,-1,-100.0
7289,3.0,-3.0,141.0,-165,145,-24.0,4.0,home,-1,145.0
7291,6.5,-6.5,202.0,-270,230,-68.0,28.0,home,1,-100.0
7297,11.5,11.5,450.0,600,-800,150.0,-350.0,visitor,-1,-100.0
7298,14.5,14.5,1361.0,750,-1100,-611.0,261.0,home,-1,9.09
7302,14.0,14.0,444.0,800,-1100,356.0,-656.0,visitor,1,800.0
7307,3.0,3.0,141.0,145,-165,4.0,-24.0,visitor,-1,-100.0
7308,2.5,2.5,115.0,125,-145,10.0,-30.0,visitor,-1,-100.0
7309,2.5,2.5,115.0,120,-140,5.0,-25.0,visitor,-1,-100.0
7313,3.5,-3.5,158.0,-195,170,-37.0,12.0,home,1,-100.0
7314,3.5,3.5,158.0,165,-190,7.0,-32.0,visitor,1,165.0
7315,7.0,-7.0,265.0,-350,290,-85.0,25.0,home,1,-100.0
7317,14.0,14.0,444.0,800,-1250,356.0,-806.0,visitor,-1,-100.0
7324,3.5,3.5,158.0,165,-190,7.0,-32.0,visitor,1,165.0
7325,14.5,14.5,1361.0,700,-1000,-661.0,361.0,home,-1,10.0
7326,2.5,2.5,115.0,120,-140,5.0,-25.0,visitor,-1,-100.0
7331,0.0,0.0,125.0,-110,-110,15.0,15.0,visitor,-1,-100.0
7333,10.0,10.0,376.0,450,-600,74.0,-224.0,visitor,-1,-100.0
7336,0.0,0.0,125.0,-110,-110,15.0,15.0,visitor,-1,-100.0
7337,3.5,3.5,158.0,170,-195,12.0,-37.0,visitor,-1,-100.0
7343,10.0,10.0,376.0,425,-550,49.0,-174.0,visitor,-1,-100.0
7347,8.5,8.5,454.0,320,-400,-134.0,54.0,home,-1,25.0
7349,3.5,-3.5,158.0,-185,160,-27.0,2.0,home,1,-100.0
7350,4.0,4.0,178.0,180,-215,2.0,-37.0,visitor,-1,-100.0
7351,6.5,-6.5,202.0,-280,240,-78.0,38.0,home,1,-100.0
7353,3.0,3.0,141.0,160,-180,19.0,-39.0,visitor,1,160.0
7355,3.0,3.0,141.0,160,-180,19.0,-39.0,visitor,1,160.0
7358,3.0,-3.0,141.0,-180,160,-39.0,19.0,home,1,-100.0
7359,9.0,9.0,318.0,350,-450,32.0,-132.0,visitor,-1,-100.0
7363,6.0,6.0,216.0,225,-265,9.0,-49.0,visitor,1,225.0
7364,13.0,13.0,469.0,500,-700,31.0,-231.0,visitor,1,500.0
7371,3.0,3.0,141.0,160,-180,19.0,-39.0,visitor,1,160.0
7372,6.5,-6.5,202.0,-300,250,-98.0,48.0,home,1,-100.0
7374,3.0,-3.0,141.0,-165,145,-24.0,4.0,home,-1,145.0
7380,6.0,-6.0,216.0,-285,235,-69.0,19.0,home,1,-100.0
7381,10.0,10.0,376.0,400,-500,24.0,-124.0,visitor,-1,-100.0
7382,9.0,9.0,318.0,330,-420,12.0,-102.0,visitor,-1,-100.0
7383,13.0,-13.0,469.0,-900,650,-431.0,181.0,home,1,-100.0
7385,2.5,2.5,115.0,120,-140,5.0,-25.0,visitor,-1,-100.0
7387,6.5,6.5,202.0,240,-290,38.0,-88.0,visitor,-1,-100.0
7388,7.0,7.0,265.0,280,-340,15.0,-75.0,visitor,-1,-100.0
7389,3.5,3.5,158.0,170,-190,12.0,-32.0,visitor,1,170.0
7390,3.5,-3.5,158.0,-185,165,-27.0,7.0,home,1,-100.0
7394,3.5,3.5,158.0,170,-195,12.0,-37.0,visitor,-1,-100.0
7395,11.0,11.0,350.0,425,-575,75.0,-225.0,visitor,-1,-100.0
7397,2.5,2.5,115.0,120,-140,5.0,-25.0,visitor,1,120.0
7398,3.0,-3.0,141.0,-175,155,-34.0,14.0,home,1,-100.0
7399,3.5,3.5,158.0,175,-205,17.0,-47.0,visitor,1,175.0
7404,3.0,-3.0,141.0,-185,165,-44.0,24.0,home,1,-100.0
7405,12.0,12.0,750.0,425,-575,-325.0,175.0,home,1,-100.0
7408,5.0,5.0,216.0,180,-210,-36.0,6.0,home,-1,47.61
7415,7.0,-7.0,265.0,-340,280,-75.0,15.0,home,1,-100.0
7419,6.0,-6.0,216.0,-265,235,-49.0,19.0,home,1,-100.0
7421,3.0,3.0,141.0,150,-170,9.0,-29.0,visitor,-1,-100.0
7422,10.0,10.0,376.0,400,-500,24.0,-124.0,visitor,-1,-100.0
7423,4.0,-4.0,178.0,-210,180,-32.0,2.0,home,-1,180.0
7426,0.0,0.0,125.0,-110,-110,15.0,15.0,visitor,1,90.9
7429,2.5,2.5,115.0,120,-140,5.0,-25.0,visitor,-1,-100.0
7431,2.5,2.5,115.0,125,-145,10.0,-30.0,visitor,-1,-100.0
7432,6.5,6.5,202.0,245,-285,43.0,-83.0,visitor,1,245.0
7433,3.0,3.0,141.0,150,-170,9.0,-29.0,visitor,1,150.0
7437,6.5,6.5,202.0,250,-300,48.0,-98.0,visitor,1,250.0
7438,3.5,3.5,158.0,165,-185,7.0,-27.0,visitor,1,165.0
7440,6.5,6.5,202.0,250,-300,48.0,-98.0,visitor,-1,-100.0
7441,2.5,2.5,115.0,120,-140,5.0,-25.0,visitor,-1,-100.0
7443,7.0,7.0,265.0,270,-330,5.0,-65.0,visitor,1,270.0
7445,9.0,9.0,318.0,340,-430,22.0,-112.0,visitor,-1,-100.0
7446,12.5,12.5,442.0,500,-700,58.0,-258.0,visitor,-1,-100.0
7447,3.0,3.0,141.0,145,-165,4.0,-24.0,visitor,-1,-100.0
7448,12.5,12.5,442.0,525,-725,83.0,-283.0,visitor,1,525.0
7449,3.5,3.5,158.0,175,-200,17.0,-42.0,visitor,-1,-100.0
7453,8.5,-8.5,454.0,-400,330,54.0,-124.0,visitor,-1,-100.0
7456,3.5,-3.5,158.0,-200,170,-42.0,12.0,home,1,-100.0
7457,6.0,6.0,216.0,225,-265,9.0,-49.0,visitor,1,225.0
7458,3.0,-3.0,141.0,-170,150,-29.0,9.0,home,1,-100.0
7461,10.0,10.0,376.0,425,-550,49.0,-174.0,visitor,-1,-100.0
7465,14.0,14.0,444.0,750,-1100,306.0,-656.0,visitor,-1,-100.0
7466,4.0,4.0,178.0,180,-215,2.0,-37.0,visitor,-1,-100.0
7467,7.5,7.5,317.0,320,-380,3.0,-63.0,visitor,-1,-100.0
7469,3.0,3.0,141.0,155,-175,14.0,-34.0,visitor,1,155.0
7473,8.0,8.0,321.0,330,-400,9.0,-79.0,visitor,-1,-100.0
7474,3.0,-3.0,141.0,-165,145,-24.0,4.0,home,1,-100.0
7475,6.5,6.5,202.0,260,-310,58.0,-108.0,visitor,1,260.0
7478,3.5,3.5,158.0,160,-180,2.0,-22.0,visitor,1,160.0
7479,2.5,2.5,115.0,120,-140,5.0,-25.0,visitor,1,120.0
7480,0.0,0.0,125.0,-110,-110,15.0,15.0,visitor,1,90.9
7481,14.5,14.5,1361.0,850,-1200,-511.0,161.0,home,-1,8.33
7482,3.5,3.5,158.0,170,-195,12.0,-37.0,visitor,-1,-100.0
7483,6.5,6.5,202.0,240,-290,38.0,-88.0,visitor,1,240.0
7486,2.5,2.5,115.0,120,-140,5.0,-25.0,visitor,1,120.0
7487,12.5,12.5,442.0,550,-775,108.0,-333.0,visitor,-1,-100.0
7491,10.0,10.0,376.0,425,-600,49.0,-224.0,visitor,-1,-100.0
7492,3.0,-3.0,141.0,-175,155,-34.0,14.0,home,1,-100.0
7493,7.0,-7.0,265.0,-350,290,-85.0,25.0,home,-1,290.0
7495,3.5,-3.5,158.0,-185,165,-27.0,7.0,home,1,-100.0
7496,2.5,-2.5,115.0,-145,125,-30.0,10.0,home,1,-100.0
7498,13.0,13.0,469.0,575,-775,106.0,-306.0,visitor,-1,-100.0
7500,6.0,-6.0,216.0,-260,220,-44.0,4.0,home,1,-100.0
7501,3.5,-3.5,158.0,-190,170,-32.0,12.0,home,-1,170.0
7503,2.5,-2.5,115.0,-140,120,-25.0,5.0,home,1,-100.0
7504,14.5,14.5,1361.0,725,-1050,-636.0,311.0,home,-1,9.52
7506,3.0,3.0,141.0,150,-170,9.0,-29.0,visitor,1,150.0
7508,12.5,12.5,442.0,550,-750,108.0,-308.0,visitor,-1,-100.0
7509,2.5,2.5,115.0,120,-140,5.0,-25.0,visitor,1,120.0
7511,2.5,-2.5,115.0,-145,125,-30.0,10.0,home,1,-100.0
7512,7.0,7.0,265.0,270,-330,5.0,-65.0,visitor,1,270.0
7514,4.0,4.0,178.0,180,-210,2.0,-32.0,visitor,1,180.0
7516,6.5,-6.5,202.0,-290,240,-88.0,38.0,home,1,-100.0
7518,3.0,3.0,141.0,155,-175,14.0,-34.0,visitor,1,155.0
7519,3.0,3.0,141.0,160,-180,19.0,-39.0,visitor,-1,-100.0
7521,6.0,6.0,216.0,220,-270,4.0,-54.0,visitor,1,220.0
7523,12.5,12.5,442.0,525,-750,83.0,-308.0,visitor,-1,-100.0
7528,3.5,-3.5,158.0,-200,170,-42.0,12.0,home,-1,170.0
7529,3.0,-3.0,141.0,-175,155,-34.0,14.0,home,-1,155.0
7530,6.5,6.5,202.0,235,-275,33.0,-73.0,visitor,-1,-100.0
7531,3.0,-3.0,141.0,-170,150,-29.0,9.0,home,1,-100.0
7532,3.0,3.0,141.0,155,-175,14.0,-34.0,visitor,-1,-100.0
7533,6.5,6.5,202.0,250,-300,48.0,-98.0,visitor,-1,-100.0
7537,3.0,-3.0,141.0,-165,145,-24.0,4.0,home,1,-100.0
